date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:43	107/107	---M-Z	200	added ('OK')	text/plain	date:Sat,%2012%20Aug%202023%2004:57:44%20GMT	https://thecave.ec/robots.txt		(from )
23:57:44	196040/196040	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2004:57:44%20GMT	https://thecave.ec/	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/index.html	(from )
23:57:44	11908/11908	---M--	200	added ('OK')	image/png	etag:%222e84-6287ad70-0;;;%22	https://thecave.ec/wp-content/uploads/2022/05/Apple-ID-icon.png	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/uploads/2022/05/Apple-ID-icon.png	(from https://thecave.ec/)
23:57:44	1327/1327	---M--	200	added ('OK')	image/png	etag:%2252f-6287ad50-0;;;%22	https://thecave.ec/wp-content/uploads/2022/05/Favicon-cave.png	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/uploads/2022/05/Favicon-cave.png	(from https://thecave.ec/)
23:57:44	24702/24702	---M-Z	200	added ('OK')	text/css	etag:%22607e-64d2ac3c-0;gz%22	https://thecave.ec/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.2	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/instagram-feed/css/sbi-styles.minae48.css	(from https://thecave.ec/)
23:57:45	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-64d32f8e-0;gz%22	https://thecave.ec/wp-includes/css/dist/block-library/style.min.css?ver=6.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-includes/css/dist/block-library/style.minf801.css	(from https://thecave.ec/)
23:57:45	2018/2018	---M-Z	200	added ('OK')	application/rss+xml	etag:%222890b016db70124f724b7bed8b33bd19%22	https://thecave.ec/feed/	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/feed/index.html	(from https://thecave.ec/)
23:57:45	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-63f1ed44-0;gz%22	https://thecave.ec/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/contact-form-7/includes/css/styles41a3.css	(from https://thecave.ec/)
23:57:46	2052/2052	---M-Z	200	added ('OK')	application/rss+xml	etag:%222890b016db70124f724b7bed8b33bd19%22	https://thecave.ec/comments/feed/	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/comments/feed/index.html	(from https://thecave.ec/)
23:57:46	1074/1074	---M-Z	200	added ('OK')	application/rss+xml	etag:%222890b016db70124f724b7bed8b33bd19%22	https://thecave.ec/sample-page/feed/	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/sample-page/feed/index.html	(from https://thecave.ec/)
23:57:46	58529/58529	---M-Z	200	added ('OK')	text/css	etag:%22e4a1-627bfc47-0;gz%22	https://thecave.ec/wp-content/themes/betheme/assets/animations/animations.min.css?ver=26.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/themes/betheme/assets/animations/animations.minf550.css	(from https://thecave.ec/)
23:57:46	364489/364489	---M-Z	200	added ('OK')	text/css	etag:%2258fc9-627bfc46-0;gz%22	https://thecave.ec/wp-content/themes/betheme/css/be.css?ver=26.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/themes/betheme/css/bef550.css	(from https://thecave.ec/)
23:57:46	60701/60701	---M-Z	200	added ('OK')	text/css	etag:%22ed1d-627bfc47-0;gz%22	https://thecave.ec/wp-content/themes/betheme/fonts/fontawesome/fontawesome.css?ver=26.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/themes/betheme/fonts/fontawesome/fontawesomef550.css	(from https://thecave.ec/)
23:57:46	9711/9711	---M-Z	200	added ('OK')	text/css	etag:%2225ef-627bfc47-0;gz%22	https://thecave.ec/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.min.css?ver=26.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.minf550.css	(from https://thecave.ec/)
23:57:47	64869/64869	---M-Z	200	added ('OK')	text/css	etag:%22fd65-627bfc46-0;gz%22	https://thecave.ec/wp-content/themes/betheme/css/responsive.css?ver=26.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/themes/betheme/css/responsivef550.css	(from https://thecave.ec/)
23:57:47	19488/19488	---M-Z	200	added ('OK')	text/css	etag:%224c20-64aadcd4-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.21.0	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind618.css	(from https://thecave.ec/)
23:57:47	111754/111754	---M-Z	200	added ('OK')	text/css	etag:%221b48a-64d393e0-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.15.2	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/css/frontend-lite.min6319.css	(from https://thecave.ec/)
23:57:47	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-64454d46-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://thecave.ec/)
23:57:48	1196/1196	---M-Z	200	added ('OK')	text/css	etag:%224ac-64903f67-0;gz%22	https://thecave.ec/wp-content/uploads/elementor/css/post-60.css?ver=1687175015	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/uploads/elementor/css/post-600b28.css	(from https://thecave.ec/)
23:57:48	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-64454d46-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.15.2	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min6319.css	(from https://thecave.ec/)
23:57:48	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-64454d46-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.15.2	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min6319.css	(from https://thecave.ec/)
23:57:48	28800/28800	---M-Z	200	added ('OK')	text/css	etag:%227080-64903f68-0;gz%22	https://thecave.ec/wp-content/uploads/elementor/css/post-2.css?ver=1687175016	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/uploads/elementor/css/post-2c442.css	(from https://thecave.ec/)
23:57:49	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-64454d46-0;gz%22	https://thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/ALEX/OneDrive/Escritorio/app/thecave.ec/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://thecave.ec/)
